기업명,평균 학점,평균 토익점수,평균 토익스피킹 점수,평균 오픽점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수,자격증
에이치디씨현대산업개발,3.53,795점,IH,IM2,1.5개,2.1개,1.2회,1.8회,4회,1.3회,"워드프로세서 2급, 정보처리기능사, 워드프로세서 1급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
(주)KP케미칼,3.75,736점,-,-,-,2개,-,1회,2회,1회,
OCI㈜,3.65,849점,IH,IM3,1.3개,2.4개,1.3회,1.1회,1.5회,1.3회,"화공기사, 워드프로세서 1급, 정보기기운용기능사, 정보처리기능사, 정보처리기사"
유코카캐리어스(주),3.56,867점,-,IH,1.5개,3.2개,1회,2회,3회,1.5회,"MOS, 워드프로세서 1급, 인터넷정보검색사 2급, 전산회계 2급, 정보처리기사"
미래에셋증권㈜,3.61,850점,IH,IM3,1.4개,2.1개,1.4회,1.1회,1회,1.3회,"증권투자상담사, 워드프로세서 1급, 컴퓨터활용능력 2급, 선물거래상담사, 금융자산관리사(FP)"
㈜BGF리테일,3.69,834점,IH,IH,1.1개,2.3개,1.2회,1.2회,1.8회,1.8회,"유통관리사, 워드프로세서 1급, MOS, 물류관리사, 사무자동화산업기사"
쌍용건설(주),3.58,830점,IH,IM3,-,2.1개,1.5회,1.5회,1.4회,1.5회,"토목기사, 워드프로세서 2급, 건축기사, 정보처리기능사, 컴퓨터활용능력 2급"
태광산업(주),3.63,866점,IH,IH,1.5개,2.3개,1회,1회,1회,2.7회,"워드프로세서 1급, 컴퓨터활용능력 2급, 회계관리 1급, 회계실무사 2급, 컴퓨터활용능력 3급"
동우화인켐(주),3.71,803점,IH,IM1,1개,2개,1.5회,1.2회,2.1회,1.6회,"정보기기운용기능사, 컴퓨터활용능력 3급, 정보기술자격(ITQ)인증시험, 워드프로세서 1급, 워드프로세서 2급"
호텔롯데,3.66,772점,IH,IM3,1.3개,2.2개,1.2회,1.4회,1.5회,1.7회,"양식조리기능사, 한식조리기능사, 제빵기능사, 중식조리기능사, 워드프로세서 1급"
금호타이어(주),3.72,820점,IH,IH,1.3개,1.8개,1.1회,1회,1.9회,1.5회,"한국사능력검정시험 1급, MOS, 산업안전기사, 전기기사, 자동차정비기능사"
SK브로드밴드(주),3.64,829점,IH,AL,1.1개,1.9개,1.2회,1.3회,2.9회,1.9회,"워드프로세서 1급, 워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
신한투자증권,3.6,803점,IH,IM2,1.4개,2.8개,1.2회,1.3회,1.5회,1.3회,"증권투자상담사, 정보처리기사, 증권펀드투자상담사, 워드프로세서 2급, 금융자산관리사(FP)"
에스케이마리타임(주),3.75,866점,IM1,-,1개,2.1개,1.5회,1회,-,1회,
㈜농심,3.72,817점,IH,IM3,1.1개,2.2개,1.1회,1.1회,1.8회,1.6회,"컴퓨터활용능력 2급, 정보기기운용기능사, 위생사, 워드프로세서 1급, 워드프로세서 2급"
현대카드,3.6,807점,IM3,IM2,1.1개,2개,1.2회,1.5회,1.9회,1.9회,"워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, MOS"
LG CNS,3.59,828점,IH,IM3,1.2개,2개,1.1회,1.3회,1.4회,1.4회,"정보처리기사, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보처리기능사, SCJP"
CJ대한통운(주),3.65,865점,IH,IH,1.1개,2.1개,1.2회,1.1회,1.5회,1.5회,"물류관리사, 무역영어, 유통관리사, 컴퓨터활용능력 2급, 국제무역사 1급"
(주)경남은행,3.68,781점,AL,IM2,1.2개,2.2개,1.7회,1.4회,1.7회,1.7회,"컴퓨터활용능력 2급, 사무자동화산업기사, MOS, 워드프로세서 1급, 정보기술자격(ITQ)인증시험"
(주)신한금융지주회사,3.56,806점,-,-,1개,2.5개,1.3회,1회,1회,1.8회,"리눅스마스터 2급, 워드프로세서 1급, 유치원정교사, 정보처리기능사, 정보처리산업기사"
삼성석유화학(주),3.69,833점,AL,IM2,1개,2개,1회,1회,1회,1회,"워드프로세서 1급, MOS, MOUS, SCJP, SEPT"
HSD엔진㈜,3.66,786점,-,-,1.3개,1.8개,1.1회,1.3회,2회,1.2회,"워드프로세서 2급, 사무자동화산업기사, 정보기기운용기능사, 정보처리기능사, 컴퓨터활용능력 3급"
(주)아모레퍼시픽,3.67,839점,IH,IH,1.3개,2.1개,1.2회,1.3회,2.1회,1.5회,"워드프로세서 1급, 컴퓨터활용능력 1급, MOS, 정보처리기능사, 컴퓨터활용능력 2급"
LG,3.63,826점,IL,IM2,1개,1.6개,1회,1회,1.3회,1.1회,"무선설비기사, 간호조무사, 전기기사, 정보처리기사, 사무자동화산업기사"
(주)풍산,3.63,789점,-,IH,-,2.7개,1회,1회,2회,2회,"워드프로세서 1급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 투자자산운용사, 한자자격시험"
흥국화재해상보험(주),3.69,836점,-,AL,1.3개,2.1개,1.8회,2회,-,1.5회,"워드프로세서 2급, 정보기기운용기능사, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보처리기능사"
삼성그룹,3.64,830점,IH,IM3,1.2개,2개,1.2회,1.6회,1.9회,1.9회,"MOS, 워드프로세서 2급, 워드프로세서 1급, 한식조리기능사, 컴퓨터활용능력 2급"
경남기업(주),3.56,804점,IH,IM3,1개,2개,1.6회,1회,1.2회,1.6회,"컴퓨터활용능력 2급, 토목기사, 워드프로세서 1급, 전산응용건축제도기능사, 건설안전기사"
도시바삼성스토리지㈜,3.56,821점,IM3,IM1,-,2.8개,-,1회,-,1회,
대한유화(주),3.71,797점,IH,-,-,2.6개,1회,-,1.3회,3회,"기업회계 3급, 대기환경기사, 보일러기능사, 세무회계 2급, 워드프로세서 1급"
에이치엘디앤아이한라 주식회사,3.7,820점,IH,IM1,1.3개,2개,1회,1회,2회,1.2회,"건축기사, 토목기사, 컴퓨터활용능력 3급, 건설안전기사, 워드프로세서 2급"
STX엔진(주),3.73,807점,IH,IL,1개,1.6개,1.2회,1.1회,1.5회,1회,"정보처리기능사, 정보처리기사, 자동차정비기능사, 품질경영기사, 무선설비기사"
서울보증보험(주),3.64,778점,IM3,IM3,1.1개,2.1개,1.1회,1.5회,1.6회,1.8회,"워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 정보기기운용기능사"
신영증권(주),3.75,833점,IH,IM1,1.3개,1.9개,1.4회,1회,2.3회,2.3회,"증권투자상담사, 파생상품투자상담사, 정보처리기사, 증권펀드투자상담사, 컴퓨터활용능력 2급"
(주)케이씨씨건설,3.58,817점,IH,-,1개,2개,1.2회,1.1회,1회,1.4회,"건축기사, 건설안전기사, 전기공사기사, 전기기사, 전기산업기사"
(주)LG생활건강,3.62,861점,IH,IH,1.2개,2.1개,1.2회,1.2회,1.6회,1.4회,"미용기능사, 워드프로세서 2급, 워드프로세서 3급, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 2급"
(주)한라홀딩스,3.64,845점,IH,IM2,1개,2.2개,1.2회,1회,1.8회,3.3회,"워드프로세서 1급, 워드프로세서 2급, 일반기계기사, 컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험"
(주)삼양사,3.59,875점,IH,IH,-,3개,1회,1.1회,3.3회,3.4회,"컴퓨터활용능력 1급, 컴퓨터활용능력 2급, 한국사능력검정시험 1급, 워드프로세서 1급, 식품기사"
노벨리스코리아(주),3.61,823점,AL,IM3,1.5개,2.5개,1.1회,1.2회,2회,2.2회,"산업안전기사, 수질환경기사, 대기환경기사, 전기기사, 워드프로세서 1급"
디비생명보험,3.56,758점,IH,IM1,1.1개,2.1개,1.2회,1.4회,1.9회,1.6회,"워드프로세서 1급, 워드프로세서 2급, 사무자동화산업기사, 컴퓨터활용능력 2급, 유통관리사"
삼성전자판매(주),3.57,758점,IM3,IM2,1.1개,2.2개,1.5회,1.5회,1.9회,2.1회,"워드프로세서 2급, 정보기기운용기능사, 정보처리기능사, 컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험"
메트라이프생명보험㈜,3.57,780점,IH,IM3,1.1개,2.1개,1.3회,1.8회,1.8회,1.7회,"워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 정보기기운용기능사"
푸르덴셜생명보험(주),3.54,825점,IH,IM3,1.1개,2개,1.3회,1.4회,1회,1.6회,"워드프로세서 1급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 정보처리기사, 워드프로세서 2급"
엘에스일렉트릭㈜,3.68,792점,IM3,IM2,1.5개,2개,1회,1회,1.4회,1.5회,"정보처리기능사, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보처리기사, 전산회계 2급"
㈜LX하우시스,3.71,836점,IH,IH,1개,2.1개,1.5회,1.1회,1.7회,1.7회,"건축기사, 워드프로세서 1급, 정보처리기능사, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
서울도시가스(주),3.33,838점,-,IH,1개,2개,1.3회,1회,1.3회,3회,"영양사, 전기기사, 정보처리기사, MOUS, OCA"
코웨이㈜,3.65,787점,IM3,IM3,1.2개,2개,1.3회,1.6회,1.5회,1.8회,"워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 2급, 사무자동화산업기사, 컴퓨터활용능력 3급"
한온시스템,3.66,805점,IM3,IM2,1.2개,2개,1.2회,1회,1.6회,1회,"워드프로세서 2급, 컴퓨터활용능력 2급, 전자기기기능사, 정보기기운용기능사, 정보기술자격(ITQ)인증시험"
한화손해보험㈜,3.63,810점,IH,IM2,1개,2개,1회,1.4회,1.8회,1.6회,"정보기술자격(ITQ)인증시험, 정보기기운용기능사, 워드프로세서 2급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
한솔홀딩스(주),3.62,825점,IH,-,1.3개,2.3개,1.2회,1회,1회,2.2회,"정보처리기능사, 사무자동화산업기사, 건축기사, 토목기사, 한자 자격 시험"
(주)오뚜기,3.59,814점,IH,IM3,1.2개,2.5개,1.2회,1.2회,2.6회,1.9회,"유통관리사, 위생사, 워드프로세서 1급, MOS, 한식조리기능사"
코오롱글로벌,3.61,811점,IH,IH,1.3개,2개,1.2회,1.3회,1.6회,2회,"건축기사, 워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 2급, MOS"
(주)태영건설,3.62,807점,IH,-,-,1.9개,1.2회,1회,3회,-,"토목기사, 건설안전기사, 정보기기운용기능사, 건축기사, 건축도장기능사"
우리금융지주(주),3.44,933점,-,IL,1.3개,2개,1.2회,2.5회,1회,1.4회,"MOS, 워드프로세서 1급, 워드프로세서 2급, 유통관리사, 전산세무 2급"
동서식품,3.8,864점,IH,IH,1.7개,2.2개,1.4회,1.3회,1회,1.5회,"물류관리사, 식품기사, 고등 HSK(한어수평고시), 영양사, 위생사"
한국증권금융(주),3.75,883점,IM2,-,1개,1.8개,1회,1회,3회,2.3회,"워드프로세서 1급, 컴퓨터활용능력 2급, 텔레마케팅관리사, 정보기술자격(ITQ)인증시험, 사무자동화산업기사"
롯데지주㈜,3.58,807점,IH,IM2,1개,2.1개,1.2회,1.5회,1.8회,1.7회,"워드프로세서 2급, 워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 3급, MOS"
SK㈜,3.55,798점,IM3,IM3,1.1개,2.1개,1.3회,1.1회,1.4회,1.1회,"정보처리기사, 정보처리산업기사, 정보처리기능사, 워드프로세서 2급, 컴퓨터활용능력 2급"
(주)히타치엘지데이터스토리지코리아,3.56,795점,-,IH,1.3개,1.9개,1.4회,1.8회,2.7회,1.7회,"워드프로세서 2급, 일본어 능력시험(JLPT), 컴퓨터활용능력 3급, 워드프로세서 1급, 고등 HSK(한어수평고시)"
현대파워텍(주),3.63,823점,IH,IM3,1개,2.2개,1.3회,1.1회,1.3회,1.4회,"워드프로세서 2급, MOS, 워드프로세서 1급, 정보기기운용기능사, 전산회계운용사(전산회계사) 3급"
유니온스틸(주),3.77,796점,IH,IM2,1개,2.2개,1회,1회,-,1회,"전산응용기계제도기능사, 워드프로세서 2급, 유통관리사, 정보처리기사, 컴퓨터활용능력 2급"
SK디스커버리,3.76,824점,IH,IM3,1개,1.7개,1.2회,1.1회,1.3회,1.4회,"워드프로세서 2급, 정보처리기능사, 정보처리기사, 컴퓨터활용능력 2급, MOS"
롯데손해보험(주),3.56,783점,IH,IM1,1.1개,2개,1.2회,1.3회,1.8회,1.6회,"워드프로세서 1급, 워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 2급, MOS"
(주)세아창원특수강,3.71,878점,IH,IM1,-,1.8개,1회,1회,1.3회,1.5회,
STX중공업㈜,3.69,811점,-,-,-,2개,1.3회,1.2회,1회,1회,"정보처리기사, 건축기사, 전기공사기사, 정보기기운용기능사, 정보처리기능사"
벽산건설(주),3.56,802점,-,-,1개,1.8개,1.2회,1회,1회,1회,"건축기사, 사무자동화산업기사, 워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급"
한국지역난방공사,3.68,789점,IM3,IM3,1.5개,3.3개,1.3회,1.3회,2.6회,2회,"전기기능사, 컴퓨터활용능력 2급, 워드프로세서 1급, 전산회계 1급, 워드프로세서 2급"
㈜세아제강,3.66,832점,IM3,IM3,1.3개,2.7개,1.6회,1.4회,1회,2회,"워드프로세서 1급, 정보처리기능사, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급"
(주)세아베스틸,3.7,828점,AL,IM3,1개,2.2개,1.3회,1.5회,3회,1.3회,"MOS, ERP정보관리사 회계2급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 한국사능력검정시험 1급"
네이버,3.67,800점,IM2,IM2,1.2개,2개,1.3회,1.2회,2.8회,1.7회,"정보처리기사, 정보처리기능사, 컴퓨터활용능력 2급, 워드프로세서 1급, MOS"
㈜광주은행,3.73,808점,IM3,IM2,1개,2.1개,1.3회,1.8회,3회,2회,"사무자동화산업기사, 컴퓨터활용능력 2급, 워드프로세서 1급, MOS, 워드프로세서 2급"
교보증권(주),3.66,844점,IH,IM2,1개,2.6개,1.2회,1회,1.3회,1.3회,"증권투자상담사, AFPK, 금융자산관리사(FP), 증권펀드투자상담사, 투자자산운용사"
롯데칠성음료(주),3.63,817점,IH,IM3,1.5개,2.4개,1.3회,1.4회,2.2회,2.3회,"워드프로세서 1급, 정보기기운용기능사, 정보처리기능사, MOS, 컴퓨터활용능력 2급"
(주)코스트코코리아,3.54,829점,IM3,IM3,1.1개,2.1개,1.2회,1.6회,1.4회,1.5회,"워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급, 제과기능사, 제빵기능사"
(주)호텔신라,3.69,790점,IH,IM3,1.1개,2.3개,1.3회,1.4회,1.7회,1.4회,"양식조리기능사, 한식조리기능사, 워드프로세서 1급, MOS, 제빵기능사"
계룡건설산업(주),3.53,799점,IH,IM1,1.4개,2.2개,1.3회,1.8회,1.6회,1.6회,"워드프로세서 2급, 산업안전기사, 건축기사, 워드프로세서 1급, 컴퓨터활용능력 3급"
SKC㈜,3.59,813점,IM3,IH,1.4개,1.9개,1.1회,1회,1.5회,1.3회,"컴퓨터활용능력 2급, 워드프로세서 1급, 전산회계운용사(전산회계사) 3급, 정보기술자격(ITQ)인증시험, 정보처리기능사"
한국아이비엠(주),3.63,841점,IH,IM3,1.1개,2.4개,1.2회,1.2회,3.9회,2.2회,"정보처리기사, 워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 정보처리기능사"
(주)강원랜드,3.67,795점,IM2,IH,1.3개,2개,1.3회,1회,2.2회,2.7회,"한식조리기능사, 양식조리기능사, 워드프로세서 2급, 컴퓨터활용능력 3급, 중식조리기능사"
(주)두산,3.53,779점,IH,IH,1개,2.1개,1.4회,1회,2.9회,2.3회,"워드프로세서 1급, 한국사능력검정시험 1급, 한국실용글쓰기검정, 유통관리사, 사무자동화산업기사"
희성전자,3.44,721점,IH,-,-,2.1개,1회,1.5회,-,2회,"사무자동화산업기사, 수치제어선반기능사, 워드프로세서 2급, 인쇄기사, 자동차정비기능사"
소니코리아(주),3.57,773점,IM3,IM3,1.4개,2개,1.3회,1.8회,2.5회,1.3회,"워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급, 정보기기운용기능사, MOS"
(주)아이마켓코리아,3.61,791점,IH,IM2,1.1개,2.3개,1.3회,1.4회,1.5회,1.6회,"워드프로세서 1급, 컴퓨터활용능력 2급, 전산회계 1급, MOS, 컴퓨터활용능력 3급"
(주)팬택자산관리,3.61,826점,IH,IM2,1.1개,1.9개,1.2회,1.2회,1.5회,1.6회,"정보처리기사, MOS, 정보기기운용기능사, 워드프로세서 1급, 컴퓨터활용능력 3급"
텍사스인스트루먼트코리아(주),3.71,859점,AL,AL,1개,2.3개,1회,1회,1회,2.3회,"워드프로세서 1급, MOS, 국제무역사 1급, 무역영어, 비서 2급"
㈜GS글로벌,3.65,825점,IH,AL,1.8개,2.4개,1.5회,1.5회,1회,1.7회,"자동차정비기능사, 워드프로세서 1급, 컴퓨터활용능력 2급, 한국사능력검정시험 1급, MOS"
(주)DB하이텍,3.65,815점,IH,IM3,1.5개,2.2개,1.3회,1회,1.2회,1.8회,"정보처리기능사, 컴퓨터활용능력 2급, MOS, 컴퓨터활용능력 3급, 정보처리기사"
코원에너지서비스(주),3.56,859점,IH,-,2개,2.2개,1.3회,1.9회,1.5회,1.6회,"워드프로세서 2급, 정보처리기능사, 컴퓨터활용능력 2급, 전기기능사, 전산회계운용사(전산회계사) 3급"
에이지씨화인테크노한국(주),3.56,831점,-,-,1.4개,2.4개,1.4회,1회,3회,1.4회,"정보처리기능사, 전자기기기능사, 지게차운전기능사, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 3급"
글로벌세아(주),3.7,895점,IH,IM3,1.1개,2.1개,1.3회,1.4회,1.8회,1.4회,"MOS, 무역영어, 워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급"
(주)농협사료,3.7,798점,-,-,1개,1.8개,1회,1.5회,2.3회,1회,"워드프로세서 2급, 전산회계운용사(전산회계사) 3급, 정보기기운용기능사, 정보기술자격(ITQ)인증시험, 정보처리기능사"
LX Pantos,3.72,867점,IH,IM3,1.2개,2.5개,1.4회,1.5회,1.5회,2회,"MOS, 워드프로세서 1급, 물류관리사, 무역영어, 컴퓨터활용능력 2급"
유한킴벌리㈜,3.63,860점,IH,IM3,1.7개,2.1개,1.3회,1.3회,1.9회,2회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 무역영어, 워드프로세서 2급"
㈜대우전자,3.59,817점,IM3,IM2,1개,2.3개,1.3회,1.2회,2.2회,1.8회,"워드프로세서 1급, 워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
대한제당(주),3.54,856점,IH,IM3,1개,2개,1.3회,1.3회,3회,2.2회,"워드프로세서 2급, 워드프로세서 1급, MOS, 유통관리사, 인터넷정보검색사 2급"
현대엔지니어링(주),3.68,851점,IH,IH,1.1개,1.9개,1.2회,1.1회,1.4회,1.5회,"건축기사, 워드프로세서 2급, 정보처리기능사, 정보기기운용기능사, 토목기사"
삼성전자로지텍(주),3.44,784점,AL,AL,1개,2개,1.3회,1.3회,-,1.2회,"워드프로세서 1급, 정보기기운용기능사, 정보처리기사, 정보처리기능사, 물류관리사"
한국쓰리엠(주),3.55,854점,IH,IH,1개,2.7개,1.3회,1.3회,1.7회,2.3회,"정보처리기능사, 지게차운전기능사, 컴퓨터활용능력 2급, MOS, 워드프로세서 1급"
롯데카드(주),3.66,785점,IH,IM3,1.1개,2.1개,1.1회,1.4회,2.1회,1.5회,"워드프로세서 2급, 컴퓨터활용능력 3급, 워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 2급"
볼보그룹코리아,3.67,853점,-,IM3,1개,2개,1.3회,1.5회,-,1회,"컴퓨터활용능력 2급, 특수용접기능사, 워드프로세서 1급, MOUS, 가스용접기능사"
(주)부영,3.49,776점,IH,IM1,2개,1.7개,1회,4회,1회,1.8회,"워드프로세서 1급, MOS, 건축기사, 정보기기운용기능사, 정보처리기사"
